mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006071329116821289,0.001969416567111977,0.004546117782592773,0.0013285253366037489,2.231111111111111e-05,0.17777777777777778,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.17777777777777778}",0.2610388582809644,0.37979980487098697,0.3134451976690674,0.34938879369062603,0.3960361583409119,0.33994176257051134,0.04848139318699305,83
0.0053635120391845705,0.00043127500857329237,0.003618764877319336,0.0001298540963564577,2.231111111111111e-05,0.18888888888888888,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.18888888888888888}",0.261036812396769,0.3798002638529224,0.31344751311996455,0.34939024639400384,0.396036520601177,0.3399422712729674,0.04848202195481612,82
0.0054662227630615234,0.0008694700050767477,0.0037134170532226564,0.0007654495878358071,2.231111111111111e-05,0.2,"{'alpha': 2.231111111111111e-05, 'l1_ratio': 0.2}",0.2610347637700273,0.3798007490574776,0.31344986605816283,0.3493917110462107,0.39603688946540916,0.3399427958794575,0.048482653859907784,81
0.005696535110473633,0.0013564530326339362,0.004286956787109375,0.001313606348040874,4.452222222222222e-05,0.1,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.1}",0.2613644865325375,0.38001304123607926,0.3132409992073202,0.34930665208092704,0.3960942149769272,0.3400038788067582,0.04844338184371882,80
0.004669904708862305,0.0001848260438177647,0.0033655643463134767,0.00016269690825537983,4.452222222222222e-05,0.11111111111111112,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.11111111111111112}",0.26136061247894793,0.38001341484042206,0.3132443405228653,0.34930908164680075,0.3960947526729697,0.34000444043240113,0.04844455001524018,79
0.004750776290893555,0.00018529547159517812,0.003343486785888672,6.903040957087001e-05,4.452222222222222e-05,0.12222222222222223,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.12222222222222223}",0.26135673298225115,0.3800138168998569,0.3132477215258971,0.3493115221341895,0.39609507966668644,0.34000497464177626,0.048445671999071835,78
0.005395412445068359,0.0010217406329388686,0.00366363525390625,0.0006994541666298625,4.452222222222222e-05,0.13333333333333333,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.13333333333333333}",0.2613528528293757,0.38001425027338187,0.3132511424747485,0.34931373713274383,0.39609535239707216,0.34000546702146445,0.04844677382945706,77
0.004411458969116211,0.00016284920957599592,0.0031327724456787108,8.186106687377452e-05,4.452222222222222e-05,0.14444444444444446,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.14444444444444446}",0.26134896962064436,0.3800147126946708,0.3132546048630157,0.3493157206597953,0.3960956239540425,0.34000592635843374,0.048447867807367664,76
0.005142688751220703,0.0010938504412718853,0.003530740737915039,0.0006618983274436817,4.452222222222222e-05,0.15555555555555556,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.15555555555555556}",0.2613450833520615,0.38001520713804005,0.31325811026080297,0.34931770470410806,0.3960958943354087,0.34000639995808424,0.048448963166331536,75
0.004574012756347656,0.00044476837103253955,0.0031410694122314454,5.986682450514275e-05,4.452222222222222e-05,0.16666666666666669,"{'alpha': 4.452222222222222e-05, 'l1_ratio': 0.16666666666666669}",0.2613411940196039,0.38001573491785445,0.31326165861807276,0.3493196887199068,0.39609616353951416,0.3400068879629904,0.04845006011059592,74
